Date,Address,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Year,Month,Day,Week,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,DayDuration,R_Humid
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,2007,5,29,22,1,88,60,74.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,896,57.39844888625208
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,T002,41.95469,-87.800991,1,0,2007,5,29,22,1,88,60,74.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,896,57.39844888625208
2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,T007,41.994991,-87.769279,1,0,2007,5,29,22,1,88,60,74.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,896,57.39844888625208
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007,5,29,22,1,88,60,74.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,896,57.39844888625208
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,T015,41.974089,-87.824812,4,0,2007,5,29,22,1,88,60,74.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,896,57.39844888625208
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,T045,41.9216,-87.666455,2,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,T046,41.891118,-87.654491,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,T048,41.867108,-87.654224,2,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,T049,41.896282,-87.655232,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,T054,41.921965,-87.632085,3,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,T086,41.688324,-87.676709,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,T091,41.862292,-87.64886,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,T094,41.720848,-87.666014,3,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,T096,41.731922,-87.677512,5,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,T096,41.731922,-87.677512,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,1,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,T129,41.891126,-87.61156,2,0,2007,5,29,22,2,88,65,76.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,896,55.64738458327224
